K,omega1,omega2,theta1,theta2,omega_diff
110.1,0.4537856055185257,0,[    nan 0.22791     nan     nan],[    nan 0.22588     nan     nan],0.4537856055185257
110.1,0.47123889803846897,0,[    nan 0.23667     nan     nan],[    nan 0.23456     nan     nan],0.47123889803846897
110.1,0.4886921905584123,0,[    nan 0.24544     nan     nan],[    nan 0.24325     nan     nan],0.4886921905584123
110.1,0.5061454830783556,0,[   nan 0.2542    nan    nan],[    nan 0.25194     nan     nan],0.5061454830783556
110.1,0.5235987755982988,0,[    nan 0.26297     nan     nan],[    nan 0.26063     nan     nan],0.5235987755982988
110.1,0.5410520681182421,0,[    nan 0.27173     nan     nan],[    nan 0.26932     nan     nan],0.5410520681182421
110.1,0.5585053606381855,0,[   nan 0.2805    nan    nan],[    nan 0.27801     nan     nan],0.5585053606381855
110.1,0.5759586531581288,0,[    nan 0.28926     nan     nan],[   nan 0.2867    nan    nan],0.5759586531581288
110.1,0.5934119456780721,0,[    nan 0.29803     nan     nan],[    nan 0.29538     nan     nan],0.5934119456780721
110.1,0.6108652381980153,0,[    nan 0.30679     nan     nan],[    nan 0.30407     nan     nan],0.6108652381980153
110.1,0.6283185307179586,0,[    nan 0.31556     nan     nan],[    nan 0.31276     nan     nan],0.6283185307179586
110.1,0.6457718232379019,0,[    nan 0.32432     nan     nan],[    nan 0.32145     nan     nan],0.6457718232379019
110.1,0.6632251157578453,0,[    nan 0.33308     nan     nan],[    nan 0.33014     nan     nan],0.6632251157578453
110.1,0.6806784082777885,0,[    nan 0.34185     nan     nan],[    nan 0.33883     nan     nan],0.6806784082777885
110.1,0.6981317007977318,0,[    nan 0.35061     nan     nan],[    nan 0.34752     nan     nan],0.6981317007977318
110.1,0.7155849933176751,0,[    nan 0.35938     nan     nan],[    nan 0.35621     nan     nan],0.7155849933176751
110.1,0.7330382858376184,0,[    nan 0.36814     nan     nan],[   nan 0.3649    nan    nan],0.7330382858376184
110.1,0.7504915783575618,0,[   nan 0.3769    nan    nan],[    nan 0.37359     nan     nan],0.7504915783575618
110.1,0.767944870877505,0,[    nan 0.38567     nan     nan],[    nan 0.38228     nan     nan],0.767944870877505
110.1,0.7853981633974483,0,[    nan 0.39443     nan     nan],[    nan 0.39097     nan     nan],0.7853981633974483
110.1,0.8028514559173916,0,[    nan 0.40319     nan     nan],[    nan 0.39966     nan     nan],0.8028514559173916
110.1,0.8203047484373349,0,[    nan 0.41196     nan     nan],[    nan 0.40835     nan     nan],0.8203047484373349
